column,feature_importance
more_title_SVD256=001,670.7014231532812
mat_tec_w2v=015,670.5301934381326
more_title_SVD256=068,670.0246753295263
agg_std_agg_palette_sum_color_r_grpby_principal_maker,667.3646979629993
agg_sum_ratio_palletSumColorG_SubTitleH*W*T*D_grpby_art_series_id,666.7448030163845
more_title_SVD256=004,662.2513136963049
prod_palletSumColorB_SubTitleH*W,654.8176593532165
long_title_SVD256=157,650.809920767943
ratio_SubTitleH*W*T*D_datingPeriod,650.6819128245115
more_title_SVD256=239,648.8963266474506
agg_sum_ratio_palletSumColorR_SubTitleH*W*T*D_grpby_art_series_id,643.1135538915793
dating_year_w2v=035,642.5096800029278
concat_title_SVD256=016,633.418982539326
hist_mat_col_tech_pro_acq_w2v=008,627.6043937293192
long_title_SVD256=009,614.4463425825039
more_title_SVD256=039,612.7400269856056
agg_z-score_diff_dating_year_late2early_grpby_principal_maker,611.6012283811966
more_title_SVD256=002,607.3408798327049
description_num_words,606.3902415931225
concat_title_SVD256=215,605.114684941868
more_title_SVD256=062,604.1476281036934
agg_palette_median_ratio,603.5617149981359
agg_z-score_agg_palette_sum_color_r_grpby_principal_maker,602.2782113105059
agg_min_agg_palette_sum_color_r&b&g_grpby_principal_maker,602.1382711678743
description_SVD256=029,599.123477200667
long_title_SVD256=016,598.4858013490835
more_title_SVD256=246,594.5045162091652
sub_title_h*d,592.7358078844845
concat_title_SVD256=162,592.077654744188
agg_max_ratio_palletSumColorB_SubTitleH*W*T*D_grpby_art_series_id,587.2097640832266
agg_palette_min_color_b&g,581.7068186576167
dating_year_w2v=044,577.3512220631043
concat_title_words_vs_chars,573.3221386695901
agg_min_ratio_datingPeriod_durationSurvival_grpby_principal_maker,570.5431207319101
agg_max_ratio_palletSumColorG_SubTitleH*W*T*D_grpby_art_series_id,568.1063507596651
agg_palette_max_ratio,565.0394781976938
hist_mat_col_tech_pro_acq_w2v=002,563.6348962436119
long_title_SVD256=254,562.7215411749979
description_SVD256=021,562.3051414961616
description_SVD256=237,554.5030509283146
concat_title_SVD256=066,554.1749532495936
concat_title_SVD256=218,552.1288160060843
agg_z-score_sub_title_h*w*t*d_grpby_principal_maker,550.0579616377751
description_SVD256=226,549.4080409506956
concat_title_SVD256=150,549.1621410648028
concat_title_SVD256=088,539.8134853467345
long_title_SVD256=238,535.2967439070344
long_title_SVD256=066,534.9831005657712
long_title_SVD256=051,534.7575128724178
title_SVD256=008,534.6023728946844
agg_max_ratio_datingPeriod_durationSurvival_grpby_art_series_id,532.5765519638857
hist_mat_col_tech_pro_acq_w2v=053,530.9600872347752
more_title_SVD256=000,529.4026939260463
title_SVD256=023,529.199547474583
long_title_SVD256=249,529.1436863491932
long_title_SVD256=118,528.896915162603
description_SVD256=144,527.1145045508941
dating_year_early,526.145967428883
agg_max_ratio_palletSumColorR_SubTitleH*W*T*D_grpby_art_series_id,522.761559834083
long_title_SVD256=162,522.1132827003797
title_SVD256=243,519.8730029811462
agg_palette_std_ratio,517.85257345438
agg_palette_min_color_r&b&g,514.9357701316476
agg_palette_std_color_r&g,512.5614091952642
agg_color_min_color_b,510.7444975574811
concat_title_SVD256=125,507.68697914481163
agg_min_ratio_palletSumColorG_SubTitleH*W*T*D_grpby_art_series_id,505.794012611111
agg_std_sub_title_h*w*t*d_grpby_principal_maker,505.0583715736866
description_SVD256=073,494.50820130109787
long_title_SVD256=072,494.2054876784484
concat_title_SVD256=071,494.0663630714019
title_SVD256=250,493.0891026606162
concat_title_SVD256=009,490.7493708183368
concat_title_SVD256=026,489.2284771949053
hist_mat_col_tech_pro_acq_w2v=022,480.44251492246985
long_title_SVD256=082,479.86434974273044
agg_sum_agg_palette_sum_color_b_grpby_principal_maker,479.834962790211
title_SVD256=220,479.16264941294986
dating_year_w2v=058,478.52756227801245
dating_year_w2v=018,475.9641884714365
agg_z-score_dating_sorting_date_grpby_principal_maker,473.2576319711904
agg_palette_min_color_g,472.64470675587654
more_title_SVD256=236,468.0295281385382
concat_title_SVD256=135,467.81223843991756
agg_color_min_color_g,467.00093192234635
more_title_SVD256=014,465.00602754950523
description_SVD256=166,463.63082795838517
dating_year_w2v=012,461.5086095109582
agg_palette_min_color_r&b,460.70728277415037
long_title_SVD256=242,460.0078861390551
long_title_SVD256=182,459.36016234755516
title_words_vs_chars,458.22673097252846
concat_title_SVD256=185,458.0089896122615
more_title_SVD256=005,457.4795890500148
long_title_SVD256=019,457.40305417527753
concat_title_SVD256=146,457.3203309600552
description_SVD256=046,456.5821462646127
description_SVD256=071,456.19111783554155
agg_palette_min_ratio,452.36064513772726
concat_title_SVD256=092,451.94166067739326
agg_palette_std_color_r&b,451.1544747923811
concat_title_SVD256=231,449.9655054236452
title_SVD256=174,447.4192509278655
agg_std_ratio_datingPeriod_durationSurvival_grpby_principal_maker,446.6366547594468
more_title_SVD256=199,446.1476484636466
description_SVD256=109,444.3845980241895
concat_title_SVD256=102,443.69508764396113
long_title_SVD256=091,441.9712674319744
description_SVD256=053,440.9829921250542
long_title_SVD256=025,439.5569507529338
dating_year_w2v=062,438.930478528142
more_title_SVD256=020,438.7114654034376
dating_year_w2v=031,438.4945625414451
agg_sum_agg_palette_sum_color_r_grpby_art_series_id,438.3084324672818
dating_year_w2v=021,438.1979900499185
description_SVD256=170,438.15287032226723
concat_title_SVD256=177,437.80331943059963
concat_title_SVD256=108,437.27815287560225
dating_year_w2v=014,434.036395393312
description_SVD256=177,433.8266715357701
hist_mat_col_tec_pro_w2v=019,432.4171930377682
description_SVD256=090,431.8553637564182
agg_mean_ratio_datingPeriod_durationSurvival_grpby_art_series_id,431.072136297822
concat_title_SVD256=046,429.53423572704196
CE_place_of_death,429.23004766305286
agg_std_agg_palette_sum_color_b_grpby_principal_maker,429.17037861049175
description_SVD256=114,428.4338037520647
long_title_SVD256=038,427.6766103953123
concat_title_num_unique_words,426.4024005706112
diff_dating_year_late2early,426.37364451090497
description_SVD256=044,424.7419047529499
more_title_SVD256=105,424.73702142139274
concat_title_SVD256=023,424.0243450005849
agg_max_ratio_datingPeriod_durationSurvival_grpby_principal_maker,423.13245964050293
agg_std_diff_dating_year_late2early_grpby_principal_maker,421.71800040950376
dating_year_w2v=040,420.0062176088492
more_title_SVD256=231,419.9962502842148
long_title_SVD256=223,419.7889302894473
long_title_SVD256=213,413.1556071018179
description_SVD256=254,412.7109009946386
agg_std_agg_palette_sum_color_r&b&g_grpby_principal_maker,412.2042942742507
title_SVD256=163,411.7819379195571
more_title_SVD256=102,411.10811495780945
description_SVD256=126,410.4962270533045
dating_year_w2v=009,408.68844396372634
more_title_SVD256=097,408.4594358031948
dating_year_w2v=047,408.43763301024836
description_SVD256=158,407.94420922795933
more_title_SVD256=044,406.9992654422919
agg_palette_std_color_r&b&g,405.0547764177124
hist_mat_col_tech_pro_acq_w2v=040,405.02555943528813
description_SVD256=247,404.91259160637856
title_SVD256=219,403.936968781054
hist_col_tec_w2v=053,402.427909185489
prod_palletSumColorR_SubTitleH*W,401.61792510251206
dating_year_w2v=006,401.3762129172683
more_title_SVD256=019,400.94571103155613
agg_sum_sub_title_h*w_grpby_principal_maker,400.4833311090867
agg_sum_agg_palette_sum_color_r&g_grpby_art_series_id,400.4322161997358
agg_palette_std_color_g,399.92523749917746
more_title_SVD256=047,399.917802169919
concat_title_SVD256=044,399.698893353343
description_SVD256=003,399.45426260928315
more_title_SVD256=046,398.7578674977024
agg_z-score_ratio_palletSumColorR_SubTitleH*W*T*D_grpby_principal_maker,397.55514093488455
agg_mean_ratio_datingPeriod_durationSurvival_grpby_principal_maker,396.5085830365618
sub_title_num_chars,396.43115414182347
long_title_SVD256=147,395.7386259039243
long_title_SVD256=188,394.68413257598877
concat_title_SVD256=055,393.58804453412694
prod_palletSumColorG_SubTitleH*W,391.7924001490076
title_SVD256=000,390.5852411861221
concat_title_SVD256=031,390.36195879181224
concat_title_SVD256=005,390.11142638822395
concat_title_SVD256=056,389.8421374956767
sub_title_w*d,389.458707742393
more_title_SVD256=252,389.3515920763214
title_SVD256=010,388.9232110654314
agg_z-score_agg_palette_sum_color_r_grpby_art_series_id,387.8832677528262
concat_title_SVD256=090,387.8277434060971
long_title_SVD256=042,387.6370805539191
concat_title_SVD256=037,386.61645200351876
description_SVD256=183,386.3217078323166
agg_max_dating_sorting_date_grpby_art_series_id,385.7929787635803
agg_z-score_agg_palette_sum_color_b_grpby_principal_maker,385.7480616271496
description_SVD256=196,384.76366811494034
long_title_SVD256=148,383.78651584933203
title_SVD256=179,382.70095853755873
concat_title_SVD256=236,382.6757825265328
long_title_num_chars,380.54648778835934
hist_mat_col_tec_pro_w2v=048,380.46892244120437
title_SVD256=065,380.06248711049557
long_title_SVD256=095,379.8450832764308
concat_title_SVD256=194,378.8058459982276
long_title_SVD256=005,377.76240832606953
hist_mat_col_tech_pro_acq_w2v=038,377.1953020033737
agg_palette_std_color_b&g,376.7684873143832
long_title_SVD256=043,375.4121987869342
